orig,dest,type,weight,interval
MainGate,Administration,walk,4,
MainGate,Engineering_Block,walk,12,
Administration,Engineering_Block,walk,6,
Administration,Arts_Center,walk,8,
Engineering_Block,Computer_Labs,walk,3,
Engineering_Block,Science_Tower,walk,10,
Computer_Labs,Library,walk,5,
Arts_Center,Library,walk,9,
Arts_Center,Student_Union,walk,4,
Student_Union,Sports_Center,walk,7,
Library,Medical_Clinic,walk,6,
Science_Tower,Medical_Clinic,walk,5,
Science_Tower,Dormitories_North,walk,14,
Medical_Clinic,Dormitories_North,walk,8,
Medical_Clinic,Dormitories_South,walk,11,
Sports_Center,Dormitories_South,walk,5,
Dormitories_North,Dormitories_South,walk,6,
Administration,MainGate,walk,4,
Engineering_Block,MainGate,walk,12,
Engineering_Block,Administration,walk,6,
Arts_Center,Administration,walk,8,
Computer_Labs,Engineering_Block,walk,3,
Science_Tower,Engineering_Block,walk,10,
Library,Computer_Labs,walk,5,
Library,Arts_Center,walk,9,
Student_Union,Arts_Center,walk,4,
Sports_Center,Student_Union,walk,7,
Medical_Clinic,Library,walk,6,
Medical_Clinic,Science_Tower,walk,5,
Dormitories_North,Science_Tower,walk,14,
Dormitories_North,Medical_Clinic,walk,8,
Dormitories_South,Medical_Clinic,walk,11,
Dormitories_South,Sports_Center,walk,5,
Dormitories_South,Dormitories_North,walk,6,
MainGate,Library,shuttle,4,15
MainGate,Science_Tower,shuttle,6,20
Student_Union,Dormitories_South,shuttle,2,10
Science_Tower,Dormitories_North,shuttle,3,12
Dormitories_North,MainGate,shuttle,8,30
